日期,原料,投入重量(kg),果皮重量(kg),不良品重量(kg),果肉成品重量(kg),班別,步留率(%)
2026-04-17,奇異果,456,61.9,21.5,372.6,食品一班,81.71
2026-03-13,蘋果,305,25.9,5.4,273.7,食品二班,89.74
2026-01-31,芒果,237,44.4,14.4,178.2,食品一班,75.19
2026-02-26,芒果,328,52.3,20.3,255.4,食品一班,77.87
2026-02-20,芒果,352,65.7,13,273.3,食品三班,77.64
2026-02-11,奇異果,258,42.9,7.6,207.5,食品二班,80.43
2026-01-14,蘋果,492,42.5,16.7,432.8,食品一班,87.97
2026-05-18,鳳梨,393,113.6,34.8,244.6,食品三班,62.24
2026-02-06,鳳梨,351,127.3,18.1,205.6,食品一班,58.58
2026-02-09,鳳梨,404,129.2,42.1,232.7,食品二班,57.6
2026-05-24,芒果,420,72.6,29.6,317.8,食品一班,75.67
2026-02-02,蘋果,305,33.2,6.5,265.3,食品一班,86.98
2026-04-08,柚子,447,140.6,51.4,255,食品二班,57.05
2026-05-19,芒果,186,29.3,6.8,149.9,食品二班,80.59
2026-02-02,蘋果,219,17.4,6.8,194.8,食品一班,88.95
2026-01-23,奇異果,102,17.3,6.1,78.6,食品一班,77.06
2026-04-11,草莓,474,34.8,11.6,427.6,食品三班,90.21
2026-02-03,芒果,224,37.5,11.9,174.6,食品一班,77.95
2026-01-26,蘋果,153,18.5,4,130.5,食品三班,85.29
2026-04-27,草莓,308,28.4,4.7,274.9,食品二班,89.25
2026-01-20,奇異果,121,17.8,6.3,96.9,食品一班,80.08
2026-03-10,柚子,439,154.1,43,241.9,食品二班,55.1
2026-05-29,鳳梨,390,136.2,26.3,227.5,食品三班,58.33
2026-03-22,芒果,229,43.5,11,174.5,食品一班,76.2
2026-01-23,柚子,423,115.3,44,263.7,食品二班,62.34
2026-04-30,芒果,418,73.9,21,323.1,食品一班,77.3
2026-05-06,芒果,203,34.9,12.6,155.5,食品二班,76.6
2026-01-17,蘋果,259,27.2,6.9,224.9,食品三班,86.83
2026-02-14,鳳梨,397,135.6,30.7,230.7,食品二班,58.11
2026-04-13,蘋果,125,12.3,3.7,109,食品一班,87.2
2026-03-14,奇異果,235,37.3,10.8,186.9,食品三班,79.53
2026-05-03,奇異果,209,39.6,12.2,157.2,食品一班,75.22
2026-02-16,草莓,191,16.9,4.1,170,食品一班,89.01
2026-01-23,芒果,210,35.8,7.5,166.7,食品二班,79.38
2026-05-21,柚子,339,104,38.4,196.6,食品一班,57.99
2026-03-03,奇異果,243,31.7,7.1,204.2,食品三班,84.03
2026-03-20,芒果,265,57.4,7.6,200,食品二班,75.47
2026-05-25,草莓,220,17.2,2.2,200.6,食品一班,91.18
2026-02-15,芒果,313,50.9,15.7,246.4,食品一班,78.72
2026-04-24,奇異果,425,83.1,15.5,326.4,食品二班,76.8
2026-01-16,柚子,496,158.6,54.1,283.3,食品二班,57.12
2026-03-02,草莓,460,41.4,7.7,410.9,食品三班,89.33
2026-03-02,奇異果,276,51.4,14.7,209.9,食品一班,76.05
2026-01-13,柚子,453,155.6,24.1,273.3,食品二班,60.33
2026-01-26,蘋果,336,29.7,12,294.3,食品一班,87.59
2026-03-01,草莓,252,25.5,5.3,221.2,食品二班,87.78
2026-04-12,鳳梨,337,91,38.2,207.8,食品三班,61.66
2026-03-29,蘋果,492,43.9,11.3,436.8,食品二班,88.78
2026-05-06,柚子,473,190.1,21.9,261,食品三班,55.18
2026-03-03,柚子,115,44.6,5,65.4,食品二班,56.87
2026-01-05,草莓,183,14.7,4,164.3,食品一班,89.78
2026-04-04,草莓,121,12.5,4.5,104,食品三班,85.95
2026-03-22,奇異果,309,39.2,9.7,260.1,食品三班,84.17
2026-04-17,蘋果,416,42.8,14.6,358.6,食品一班,86.2
2026-05-03,鳳梨,350,117.8,13.3,218.9,食品二班,62.54
2026-04-03,奇異果,284,33.2,13.5,237.3,食品三班,83.56
2026-01-06,柚子,252,67.8,26.5,157.7,食品二班,62.58
2026-04-06,奇異果,254,50.5,6.4,197.1,食品三班,77.6
2026-01-13,芒果,113,21.9,5.7,85.4,食品一班,75.58
2026-01-24,奇異果,155,25.1,10.2,119.7,食品一班,77.23
2026-03-19,草莓,445,37.9,9.6,397.5,食品一班,89.33
2026-02-01,草莓,307,21.3,5.9,279.8,食品二班,91.14
2026-04-23,柚子,469,145.2,34.9,288.9,食品二班,61.6
2026-04-04,柚子,175,57.9,10.1,107,食品三班,61.14
2026-05-05,草莓,246,20.6,8,217.4,食品三班,88.37
2026-05-16,蘋果,164,15.4,2.5,146.1,食品一班,89.09
2026-01-01,蘋果,175,19.5,6.7,148.8,食品二班,85.03
2026-03-07,蘋果,477,40.8,16.7,419.5,食品一班,87.95
2026-03-12,蘋果,360,38.4,12,309.6,食品一班,86
2026-04-27,芒果,283,46.6,9.5,226.9,食品二班,80.18
2026-01-15,蘋果,304,28.2,5.8,270,食品二班,88.82
2026-05-30,柚子,407,116.5,43,247.5,食品二班,60.81
2026-05-24,鳳梨,236,71.2,13.7,151.1,食品一班,64.03
2026-04-15,柚子,334,100,18.9,215.1,食品三班,64.4
2026-02-04,蘋果,205,23,2.7,179.3,食品二班,87.46
2026-04-11,草莓,343,37.7,13.7,291.6,食品一班,85.01
2026-01-18,草莓,491,37.4,5.2,448.4,食品三班,91.32
2026-04-12,鳳梨,126,39.6,8.2,78.2,食品三班,62.06
2026-01-30,鳳梨,377,116.5,23.3,237.2,食品三班,62.92
2026-05-18,奇異果,413,48.4,19.6,345,食品二班,83.54
2026-05-03,鳳梨,477,150.6,47.9,278.5,食品三班,58.39
2026-05-16,柚子,274,89.4,33.7,150.9,食品三班,55.07
2026-02-05,鳳梨,168,54.6,17.3,96.1,食品三班,57.2
2026-01-16,鳳梨,259,90.6,16.9,151.5,食品三班,58.49
2026-01-07,草莓,189,19.8,7.5,161.7,食品二班,85.56
2026-04-02,草莓,224,28,4.6,191.4,食品二班,85.45
2026-02-14,芒果,351,51,19.4,280.6,食品二班,79.94
2026-01-20,鳳梨,318,88.2,35.8,194,食品一班,61.01
2026-02-08,鳳梨,346,116.6,26.3,203.1,食品三班,58.7
2026-04-29,草莓,227,20.9,8.9,197.2,食品二班,86.87
2026-03-15,鳳梨,100,33.1,6.3,60.6,食品一班,60.6
2026-05-09,草莓,108,9,1.7,97.3,食品一班,90.09
2026-01-24,蘋果,242,24.3,7.2,210.5,食品三班,86.98
2026-04-10,鳳梨,134,46.6,10.3,77.1,食品二班,57.54
2026-02-26,柚子,203,57.1,16.3,129.6,食品一班,63.84
2026-03-05,蘋果,433,35.3,9.9,387.8,食品三班,89.56
2026-05-05,芒果,375,56.6,22.8,295.6,食品二班,78.83
2026-02-13,奇異果,200,35.9,10.6,153.5,食品三班,76.75
2026-02-23,鳳梨,188,51.9,19.4,116.7,食品二班,62.07
2026-03-23,芒果,164,25,7.7,131.3,食品三班,80.06
2026-01-30,草莓,370,40.2,9.9,319.9,食品三班,86.46
2026-03-02,芒果,392,67.3,26.8,297.9,食品二班,75.99
2026-03-05,草莓,291,27.6,5.8,257.6,食品三班,88.52
2026-02-07,鳳梨,131,37.4,15.8,77.8,食品一班,59.39
2026-04-23,草莓,197,21.6,5.9,169.5,食品三班,86.04
2026-02-17,芒果,409,59.7,22.2,327.1,食品二班,79.98
2026-02-10,鳳梨,201,64.6,22.1,114.3,食品一班,56.87
2026-01-22,芒果,152,26.3,8.2,117.5,食品一班,77.3
2026-03-18,鳳梨,353,96.8,35.9,220.3,食品一班,62.41
2026-05-05,芒果,367,58.1,17.1,291.8,食品二班,79.51
2026-04-19,蘋果,378,42.2,7.4,328.4,食品一班,86.88
2026-03-01,柚子,489,148.1,28.6,312.3,食品二班,63.87
2026-01-05,蘋果,253,24.3,6.3,222.4,食品三班,87.91
2026-01-15,芒果,400,53.7,20.1,326.2,食品三班,81.55
2026-05-11,蘋果,395,40.2,15.6,339.2,食品二班,85.87
2026-01-02,芒果,143,21.9,4.1,117,食品一班,81.82
2026-03-13,柚子,457,163.3,29.5,264.2,食品一班,57.81
2026-03-08,芒果,467,83.1,22.5,361.4,食品一班,77.39
2026-02-20,芒果,265,51.5,7.4,206.1,食品三班,77.77
2026-03-01,奇異果,306,45.7,16.2,244.1,食品三班,79.77
2026-03-30,芒果,239,38.3,9.5,191.2,食品一班,80
2026-05-08,芒果,324,53.4,13,257.6,食品一班,79.51
2026-04-21,蘋果,355,26.4,9.7,318.9,食品三班,89.83
2026-05-20,鳳梨,273,72.8,29.6,170.6,食品三班,62.49
2026-05-16,柚子,152,48.6,19.3,84.1,食品一班,55.33
2026-02-23,柚子,208,59.7,22.2,126.1,食品一班,60.62
2026-01-11,蘋果,416,36,14,366,食品三班,87.98
2026-04-08,草莓,291,24.3,3.7,263,食品三班,90.38
2026-04-13,草莓,337,30.5,6.7,299.8,食品二班,88.96
2026-04-30,鳳梨,289,92.3,14.9,181.8,食品二班,62.91
2026-01-20,奇異果,458,57,19.5,381.5,食品三班,83.3
2026-02-27,草莓,246,20,4.4,221.6,食品三班,90.08
2026-04-16,蘋果,456,40.5,11.9,403.6,食品一班,88.51
2026-03-22,芒果,320,67.5,8.6,243.9,食品二班,76.22
2026-04-25,鳳梨,124,32.1,12,79.9,食品二班,64.44
2026-02-17,蘋果,342,33.4,8.7,299.9,食品三班,87.69
2026-03-15,芒果,427,72.6,14.3,340.1,食品三班,79.65
2026-02-17,鳳梨,318,93.3,30.8,193.9,食品二班,60.97
2026-04-23,蘋果,133,11.7,4.6,116.7,食品一班,87.74
2026-05-24,蘋果,438,40.9,13.1,384,食品三班,87.67
2026-04-27,草莓,138,12.2,2,123.8,食品三班,89.71
2026-01-23,奇異果,370,49.4,6.2,314.4,食品三班,84.97
2026-01-08,奇異果,453,80.3,12.5,360.2,食品二班,79.51
2026-04-10,蘋果,325,29.8,4.5,290.7,食品一班,89.45
2026-02-21,草莓,253,14.8,5.8,232.4,食品一班,91.86
2026-01-02,草莓,490,62.2,9.5,418.3,食品二班,85.37
2026-05-10,草莓,235,19.1,4.5,211.4,食品三班,89.96
2026-02-19,鳳梨,314,88.1,27,198.9,食品三班,63.34
2026-05-02,芒果,271,47.6,13.3,210.1,食品一班,77.53
2026-02-03,奇異果,134,20.3,7.4,106.3,食品一班,79.33
2026-01-19,蘋果,109,9,2.1,97.9,食品二班,89.82
2026-04-28,奇異果,385,66.4,12.9,305.7,食品一班,79.4
2026-05-25,芒果,446,72.6,23.6,349.8,食品二班,78.43
2026-03-20,奇異果,323,47.6,13.7,261.7,食品二班,81.02
2026-02-02,鳳梨,126,38.3,15.7,72,食品一班,57.14
2026-02-14,草莓,353,24.1,8.1,320.8,食品三班,90.88
2026-05-06,蘋果,296,33.4,5.5,257.1,食品二班,86.86
2026-04-24,草莓,144,10.4,3.3,130.3,食品一班,90.49
2026-04-06,草莓,332,33.5,13.8,284.7,食品一班,85.75
2026-01-08,柚子,416,161.9,19.2,234.9,食品三班,56.47
2026-02-17,蘋果,482,47.7,9.4,424.9,食品三班,88.15
2026-04-27,草莓,420,53.4,6.8,359.8,食品二班,85.67
2026-02-06,草莓,303,21,7.1,274.9,食品三班,90.73
2026-03-02,鳳梨,113,30.6,10.4,72,食品二班,63.72
2026-05-03,芒果,430,60.5,23.8,345.7,食品三班,80.4
2026-05-27,草莓,266,24,8.4,233.6,食品一班,87.82
2026-01-26,柚子,159,48.4,8.9,101.7,食品二班,63.96
2026-05-05,蘋果,403,33.2,11.5,358.3,食品二班,88.91
2026-05-02,草莓,346,29.7,9.1,307.2,食品一班,88.79
2026-02-21,芒果,376,74.7,15.8,285.5,食品三班,75.93
2026-02-28,柚子,453,154.7,21.3,277,食品三班,61.15
2026-05-17,芒果,397,69.4,29.5,298.1,食品一班,75.09
2026-03-07,鳳梨,343,117.9,21.6,203.5,食品一班,59.33
2026-03-09,鳳梨,162,57.4,11.3,93.3,食品三班,57.59
2026-05-04,柚子,382,125.4,43,213.6,食品二班,55.92
2026-01-21,柚子,356,99.5,41.7,214.8,食品一班,60.34
2026-03-01,鳳梨,450,148.8,34.9,266.3,食品一班,59.18
2026-05-05,奇異果,291,48.6,20.7,221.7,食品二班,76.19
2026-03-20,草莓,424,28.8,8,387.2,食品三班,91.32
2026-03-14,柚子,482,138.5,37.2,306.3,食品一班,63.55
2026-05-01,芒果,266,50.4,5.7,209.9,食品二班,78.91
2026-01-25,奇異果,334,44.7,8.1,281.2,食品一班,84.19
